,ID,comment,like_num
265, b d  ,노트10+ 사기전에 보던게 아이폰 11 프로 맥스 였는데 들어보니까 개무거웠다 그냥 소니 XB30 스피커 드는거 마냥 폰도 작은게 무게가 너무 무거웠고 베젤도 너무 두껍고 가격도 맞지않는 가격이고 근데 노트10+는 더 큰데 가볍고 베젤얇고 좀 더 쌌음  내 기준에선 신형 아이폰 왜 좋다는지는 모르겠음,"
        0
      "
266, 아린인서울  ,이 돈으로 주식을 사놓을까 아니면 노트20을 살까...,"
        1
      "
267, neco  ,카메라 튀어나온거 개싫음,"
        7
      "
268, 김뒷통수  ,솔직히 말해서 다들 이미 쓰는 핸드폰 성능들이 너무 좋아서 더 이상 좋은 핸드폰의 필요성을 못느낄듯 아이폰도 마찬가지고,"
        21
      "
269, 그랜YT  ,응아이폰,"
        1
      "
270, 진호준  ,EPIC FAIL,"
        0
      "
271, 류순남  ,ㅁ7,"
        0
      "
272, 45 59  ,급나누기 너무 심하다 사실상울트라를 살수밖에 없게 했네,"
        3
      "
273, 상어Shark  ,와 진짜 겁나 예쁘다 브라운?? 너무 예뻐요,"
        2
      "
274, 인어왕자  ,삼성 폴더폰2  아직까지 비싼 폰 결국 7세대가 되어야 가격이 싸려나?,"
        0
      "
275, 커튼《히써러버》  ,2020년에 나온것파맛첵스갤럭시 노트20갤럭시 버즈+갤럭시 z플립아이린 슬기 신곡갤럭시 S20폴드2 유출이라고 해야하나?,"
        2
      "
276, 포돌  ,야 폴드 역대급이던데 티저라도 올려줘,"
        0
      "
277, 흠터  ,그래도 뒷면 플라스틱은 좀ㅠㅠ,"
        1
      "
278, 물망초  ,"현재 노트20울트라에서 발생하는 초광각렌즈(ois기능x)의 유격현상, 렌즈의 결로현상. 렌즈안 먼지유입 등 발생하는 결함에있어 삼성의 공식입장 바랍니다. 145만원이라는 돈을 주고 사는 제품에 렌즈유격없길 바라는 뽑기식 구매와 다른 기종보다 현저히 많이 발생하는 렌즈 결로 현상  .. 말이됩니까 삼성이란 대기업에서 이런.. 제품 검증도 안하고 출고하나..","
        0
      "
279, 신채화  ,그냥 노트북을 사는게  ㅋㅋㅋㅋㅋ 휴대전화 따로 노트북따로 뭐 노트북도 통화 되니까 ㅋ,"
        0
      "
280, y  ,디자인....개인적으로 촌스럽다 카메라도 별로고..,"
        0
      "
281, 군싹  ,이번건진짜.. 국뽕필터 끼고 봐도 징그럽다,"
        0
      "
282, 이승주  ,제2의 옴니아2꼴 나는 건 아니겠지? ㅋㅋ,"
        0
      "
283, Master Piece  ,저기 손들도 다 손짓티비 님이 하신건가?,"
        4
      "
284, 배수현  ,ㅣ,"
        0
      "
285, 성이름  ,애플처럼 해주면,"
        0
      "
286, 두민  ,이참에 크게한번 망하고 다시 성공하자,"
        10
      "
287, 김영식  ,달기병났울때졸고있을때무엇먹이나요,"
        0
      "
288, 칩꼬북  ,노트10+ 계속 씁니다 ㅎ 삼성 화이팅 아무리 노트 급을 나눠도 그렇지 120만원 플라스틱 선 씨게 넘었네 울트라 는 그래도 좀 이쁨 실물로 보면 대형 인덕션 화력 쌔보임노트30 시리즈 기대합니다^^,"
        0
      "
289, 고구디  ,이번 노림수가 출고가를 낮춰서 s20시리즈보다 싸게나온것처럼해놓고 공시지원금 kt기준 13만원요금제써야 24만원준다는 그폰인가요? 기본노트20은 스펙이 s20보다 안좋고 노트20울트라는 스펙이좋은데 가격이 너무비쌈,"
        0
      "
290, Hong JungWoo  ,드디어,"
        2
      "
291, bang fajar  ,Wow amazing,"
        0
      "
292, 든든한 국밥  ,왜 S팬 자리 바꼈냐,"
        1
      "
293, 유예리  ,ㅎ,"
        0
      "
294, 한달  ,삼성 진짜 점점 디자인이 촌스러워진다. 이제는 샤오미라고 해도 믿을듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가격비싼 샤오미,"
        5
      "
295, 맘무무무  ,노트20과 울트라 갭차이 실홥니까 노태문씨.....ㅠㅠ,"
        1
      "
296, 당직대기  ,이번에 배터리 상태는 어떨라나,"
        0
      "
297, ᅳ덤벼보라고  ,스냅드래곤말고 엑시노트여서 스펙은  딸리지...... 노트20이랑 노트20울트라랑 차이점이 너무 많고...... 가격인상이 너무 그렇고...... 모르겠다,"
        0
      "
298, 마좀치나  ,사람들은 디자인에 반응하는 경향이 있는데 이번에 노트10이랑 별반 다를 것이 없어보임...폭망예상 성지시즈,"
        7
      "
299, Dr_ Romantic  ,"하. 삼성 광고가 세련되고 고급 브랜드 이미지여서 좋아했는데, 그런 느낌이 완전히 없어졌네.. 특히 최상급모델인 노트시리즈 광고에서 조차도..좀.. 아쉽다","
        9
      "
300, John Lee  ,미안하지만 S20 보다 성적이 더 저조할 것으로 확신한다.,"
        40
      "
301, Chae  ,제발 색 좀 이쁘게 내면 안되나 ?? 사고싶은 맘이 없어진다.,"
        0
      "
302, 유서연  ,으아아 이미 삼성 20울트라 샀음 ㅠㅠ 이제 노트20도 나왔어용 ㅠㅡㅠ,"
        1
      "
303, ᄋᄋᄋᄋ  ,그냥 갤노10쓰면서 저 카툭튀가 없어질 때쯤 사야겠다 무슨 애니캐릭터 눈크기마냥 렌즈크기봐라 10시리즈 폴더에 힘 너무 써버린게 보이네,"
        21
      "
304, 김동우  ,카툭튀 때문에 눕혀놓고 필기하려면 기울어지는거 실화? 그리고 바닥에 떨구면 카메라 바로 박살날듯,"
        0
      "
305, 곽도연  ,난 어제 갤럭시 퀀텀 5G삼ㅋㅋ,"
        0
      "
306, Lol_ D.E  ,"특수코팅 ㅇㅈㄹ 하던데 유리같은 분위기 조또 안나고, 삼성제 에코 컬러? 라카는데 색상은 잘뽑음, 다만 그 후의 하는 짓거리가 좆같지. 기본앱 광고로 쳐맞더니 정신줄 놓은건가? 추후 플랫,엣지 성능 동급해놓고 팔아봐라 누가 많이 팔릴지.","
        6
      "
307, 토토로일상튜브  ,카메라가 a21은 4개인데 왜이건 3개밖에없나. 배터리도작고. 살짝 아쉽네,"
        1
      "
308, wau복절  ,와........예쁘다........,"
        0
      "
309, joon harden  ,님들 살꺼면 플러스사세요,"
        0
      "
310, 하토_  ,저놈의 카메라는 호불호 극명하게 갈리겠네... 노트 10+ 산 내가 부전승인가,"
        3
      "
311, 고마워요대장  ,나도 노트 쓰고있긴한데....솔직히 왜 또 바꿔야하는지 이유를 모르겠다.....뭐가 달라진게있어야 바꾸지 이전 모델과 별반 차이없는 기술들에 바꿀이유가 없음.단지 느려져서 바꾸는것이지. 이제 혁신적인건 다 끝났다...,"
        31
      "
312, 김범진  ,노트ㅣㅇ나온지 얼마나됐다고 20나오냐?삼성이 돈이급한가보구나...그러다 역효과나는뎅..,"
        0
      "
313, 공백  ,ㅤ,"
        1
      "
314, キムチョル  ,갤럭시 사서 애국하렵니다!,"
        2
      "
315, 선재  ,솔직히 삼성은 이제 감성으로도 폰을 내놔야함.,"
        2
      "
316, 김우영  ,이제 나오는구나ㅋㅋㅋㅋ,"
        9
      "
317, GO GO  ,이제 폴드가 플래그쉽이지. 노트랑 S시리즈는 보급형이다.,"
        2
      "
318, - J  ,이쯤되면 노트10산사람이 진짜 승리자지ㅋㅋ,"
        4
      "
319, ᆞᆞ  ,디자인이 약간 아이폰 인덕션같네 노트10이 좀더 이쁜듯,"
        1
      "
320, 스테이크  ,20은 s나 노트나 역대급 판매량 저조로 적자 볼거 같다. 일부러 시험삼아 내놓은 시리즈인가,"
        1
      "
321, 예스  ,노트9인데 바꾸지 말까;  카툭튀 너무 심하기는한데 노트9도 못생긴폰이니까,"
        0
      "
322, Jayson  ,이번에도 어김없이 용달블루 나왔구먼 삼성화이팅,"
        0
      "
323, 밤하늘별  ,아니 도대체 핸드폰 카메라로 뭘 찍으려고.... 어디까지 찍으려고.... 이렇게까지 카툭튀를 만들..... 나 진짜 제대로 안보다가 알고리즘에 뜨는 소개 영상들 보다 너무 충격받아서.... 와 진짜..... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이게 뭐람 ㅋㅋㅋㅋㅋㅋㅋㅋ 아니 이게 뭐람 ㅋㅋㅋㅋㅋㅋ 뒤에만 안보면 전면은 괜찮............ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 미치겠닼ㅋㅋㅋㅋㅋㅋㅋ,"
        0
      "
324, 정치킨  ,아니 카툭튀 인덕션  필요없다고;;,"
        4
      "
325, 이채영  ,오늘 사전예약하러 가네요~~,"
        0
      "
326, seung gi Lee  ,오늘 보고왔는데 카툭튀 정말 심각하네요 급실망...,"
        1
      "
327, 이화수  ,솔직히 노트라는 명칭은 이젠 폴드쪽이 더 알맞다고 생각합니다ㅎㅎ,"
        0
      "
328, 젠틀B  ,삼성폰을 매번 2번씩 바꾸는데도 이번 노트20울트라는 걍 패스하고 폴드랑 s20울트라랑 액티브2 처분하고 Z폴드2랑 워치3로 가야될꺼 같네여 ㅜㅜ,"
        2
      "
329, 이훈  ,"s20+  울트라를  먼저 사용하고 있는 사람으로서  삼성에묻고 싶습니다s20+ 울트라가  출시되고 사용한지 일주일만에 바닥에 떨구어져  as  몇번 받았지만  비용은 그대로 받고  아직도  제대로  사진 촛점이 안잡혀노트5  보다 못한것 같습니다시간이 흘러 지금까지  쓰고 있는 사용자 입장에서 현재 업무상 카메라  부분은  포기하고중고로 처분하여 노트10+로 역으로 갈아타고 싶은 심정입니다  ㅜㅜ삼성에서  간과하고 있는 이부분을 알고 있는지 묻고 싶습니다울트라 카메라 화소의 중요성  못지않게  그  사후의 as  처리 부분도 개선될 소지가  바뀌지 않는 이상글로벌  업체로서  좀 더 커나가기에는  아직은 다소  아쉬운 부분이느껴집니다 삼성 참모진분들!전국의 삼성 as  센터들 방문들 하시어 점검 및  제품 개선에  좀 더  신경 써 주시길 바라겠습니다ps. 울트라급의 고성능 화소가  중요한것이 아니라 ,  카메라내구성 및 촛점  수정 프로그램  개선에 좀더  신경써 주셔야 세계적으로  인정받고  있는  x플을 넘어설수  있을것 같습니다대한민국의  한 사람으로서 자랑스런 삼성전자에 다시금 자긍심을 갖고 싶은 마음에  글을 남겨 봅니다","
        0
      "
330, ᅳᄑᄑ  ,아니근데 왜 요새 사람들 다 껌뻑죽는 파스텔 톤을 안쓰는거임...? 노트2 핑크도 의외로 인기 좋았으면서 깔끔한색 못뽑겠으면 파스텔톤으로 갈생각도 해보면 안돼나...? 왜 용달블루에서 더 나아지질않냐...,"
        1
      "
331, 이상과현실  ,WHAT THE...,"
        39
      "
332, 패스  ,아이폰 디자이너랑 갤럭시 디자이너랑 바꿔서 개발해봐라,"
        0
      "
333, 민식2  ,노래좀 알려주세요,"
        0
      "
334," 흔남,웃소,밍꼬love서영  ",우아 가꼬싶다 ....돈이 없쒀,"
        1
      "
335, 키즈모드  ,틀딱들이 많이 사주겠지 ㅋ,"
        1
      "
336, 성애림  ,우리동생노트20사는데... 부럼다..(전 갤20),"
        0
      "
337, 한수정  ,노트10과 그닥 달라보이지 않는다 즉 얘들은 여기에 전혀 힘을 쏟아넣지 않았다,"
        8
      "
338, 김상연  ,브금은 엄청 중독성있네,"
        1
      "
339, 라던 유튜브  ,1,"
        1
      "
340, 오함마든무지  ,망작,"
        1
      "
341, 한달  ,결론: 갤럭시 노트 20 ㄹㅇ 구리다,"
        7
      "
342, 아힘들다  ,또 휘어진 필름임? 그림이나 글 쓰라고 펜을 준 폰이면서 엣지? 때문에 쓰기 개 불편해,"
        0
      "
343, 김학순  ,좋아하는취향에따라선택의자유지만기준이애매할수밖에없는데쉽게잘부를수있는노래아무나부르기힘든노래무게중심을판단할줄아는레전드수준이약간은필요우리의미흡한판단이가수의장래에많은영향을미치는것은어쩔수없지만날이갈수록모두판다력ㅇ상승하리라고믿고싶네요,"
        0
      "
344, 달콤한레몬  ,이 문제의 결론은 ! 결론은 !! 진짜 광고 너무 오글거리네;; 대학교 수업듣다가 노트펜을 뽑아서 필기하는 사람 한명도 못봄; 걍 다 아이패드로 필기하던가 ppt필기하지,"
        25
      "
345, 표절  ,광고수준봐라 ;; 이 문제의 결론은 이러고 있네 .ㅋㅋ 한국이 교육에만 목매다니까 휴대폰도 광고도 저모양 저꼴이네,"
        8
      "
346, 조현진  ,아까 언팩보고 s8+1년더써야겠다는생각이듬 ㅇㅇ;;,"
        2
      "
347, 이상윤  ,십몇년동안 색이 어떻게 이렇게 한결같이 촌스럽냐,"
        17
      "
348, ᄋᄋ  ,사실 실생활에 사용하는 기능은 하나도 추가되지 않았고 카메라만 괴상해짐... 이번건 진짜 역대급으로 별로다,"
        4
      "
349, 송편ˇ  ,갖고싶다,"
        0
      "
350, 이예은  ,누가 색종이 다 쓰고 안예쁜 색만 남은거 모아놓은 거 같다 그랬는데,"
        3
      "
351, 콤퓨타  ,카메라 진짜 타협 안되네. 디자인 좀 보기좋게 내지.. 삼성폰은 10시리즈 말고는 괜찮은 디자인이 없다. 뭐 노트20 울트라가 폴드나 z플립보단 낫지만..,"
        1
      "
352, 썩은싱호싱싱하지만  ,새 폰만 나오면 뭐하냐?폰이 갤럭시 s20울트라였는데 필요한 앱 깔은게카톡 밖에 없는데 렉10분걸리고 오타 나오고 폰 지멋대로 터치가 되고 참 폰도 갚어치 못하도록 만들었어~이럴바엔 나는 엘지가 훨씬 좋다.삼성꺼는 갚어치를 못해~!!진짜 이게 100만원 이상이라는게 진짜 어이가 없네폰이나 똑바로 만들어라이러다가 망하것다ㅋㅋ,"
        2
      "
353, Gus A  ,노트도 잘나왔지만 광고만 보면 버즈 라이브 갖고 싶다,"
        0
      "
354, 김도균  ,Jesus Christ,"
        1
      "
355, kwang nam  ,"혁신은 어디? 개발팀, 대가리 박아!","
        1
      "
356, 이봉석  ,.,"
        0
      "
357, Tay Kim  ,이래도 불만 저래도 불만 ... ㅉㅉ,"
        0
      "
358, 발빠른 신기술 소식BBDTV  ,노트를 가장 노트답게 표현한 광고같네요. 디자인. 필기능력. 게임실행. 카메라 기능 등 무엇하나 빠지지 않는것 같습니다 :),"
        1
      "
359, 펭짱  ,어떤 외계인을 고문시켰죠?,"
        0
      "
360, 굿도도림표  ,어차피 지들도 나중엔 카툭튀 쓰게될텐데 뭘 그래 불평이야~  여기서 케이스 안씌우고 쓰는 사람이 있어?? 고장나고 망가질까봐 죄다 돈주고 케이스 사써 쓰면서 카툭튀 하면 뭐가 어쩐다고... 그래봤자 5년에서 이미 2년가까이 썼으면서.. 뭐 평생쓰게???,"
        1
      "
361, 돌진가즈아  ,이번건애플보다나아보임,"
        0
      "
362, 허언왕김진실  ,나지금 노트9 인데 바꿀까?? 바꿨으면 좋겠다 생각하시는분 좋아요 좀,"
        6
      "
363, 연영묵  ,가즈아,"
        0
      "
364, 나무나무tv  ,카툭튀 보여주기싫어서 뒷모습은 빠르게 넘어가는 느낌이네..,"
        2
      "
365, 니뚝배기  ,갤20키운게더이쁠가같은데,"
        0
      "
366, 강동현  ,lg는 이미 중국자본에 잠식된거 같고 그래도 대한민국 마지막희망 삼성전자 응원한다,"
        1
      "
367, 뉙넹임  ,애플 작작까라....뭐 기능어떤지 호평이 좀 있나 볼려했더만 괜히 애플 까다가 댓글에서 죄다 싸우고 있네,"
        1
      "
368, 뉙넹임  ,인덕션이 아니라 주방을 통째로 가져다 논듯,"
        1
      "
369, 김민재  ,옴니아부터 갤노트10+까지 삼성에 만족한적이 단한번도 없다. 터치감부터 카메라 색감 그외 기능까지 디자인은 역대급 촌스러워. 표기스펙만보면 최강 막상써보면 ㅈ같음. 노트 10+ 10달도 안가 번인현상오고 와이파이짱짱해도 모서리 부분만 잡으면 끊기는거보고 경악했다.  배터리광탈까지 생기던데 이야..,"
        0
      "
370, 방랑객WON  ,유튜브 초보분들삼성20하나면 충분하겠네요가격이 좀비싸겠지요 ?잘봤읍니다 굿은날씨에 건강하십시요,"
        1
      "
371, 뉙넹임  ,왜ㅐㅐㅐㅐㅐㅐ 도대체 아이폰 색감이랑 질좀 따라해줘 원가절감 그만하고 ㅠㅠㅠ 옆동네는 보급형애도 똑같은 칩셋넣어주고 ois넣어주고 난리났는데 여긴 급나누기로 ㄹㅇ 난리났네 ㅠㅠㅠㅠ 색 도대체 누가 뽑는거임.... 아이폰처럼 질감이라도 좀 살려서 오래보면 적응되고 예쁜 디자인좀 뽑아라.... 노트 10때는 그나마 아저씨 컬러 빼면 디자인은 괜찮더만....,"
        1
      "
372, 西巴k국뽕  ,삼성이 이젠 중국폰 따라하네 ㅋㅋㅋ,"
        0
      "
373, *꧁༺리바이༻꧂*  ,님들아~ 나 핸드폰 1년지나서 딴걸로 살려고 그러는데 저 핸드폰이 나음? 아님 다른게 더 좋음?,"
        0
      "
374, Kwak Brian  ,S20과 비슷하게 망할것같네요..디자인도 좀 중국폰같고,"
        0
      "
375, 머선일이고  ,여기 부정적댓글다는 애들은 폰살돈없는 걸배이들ㅋㅋ,"
        0
      "
376, 현지은  ,이젠S20의 유행은 끝~울엄마가 S20인데...나오자마자삼....우리아빠는 또 S20노트살란다...그리고또 새로운게나올뜻ㅋㅋㅋ,"
        0
      "
377, 윤성TV  ,VERY GOOD☆,"
        1
      "
378, 류준우  ,잘뽑앗노,"
        3
      "
379, 다다다  ,여자들이 쓰기 불편한크기니까 또 거품무는애들 나오겠네???,"
        1
      "
380, hyunmin Lee  ,노트사용자인데요구지  삼성폰  비싼돈드리고폰살피요없어요 비싼돈사봣자  삼성as센터는  무상as는커녕 산지1년 도 안된폰  조금만  내구성고장도절데  부품교체는커녕 오희려  엔지니어가 고객과말다툼으로싸움걸며  절때그럴리없으니 멀쩡하다며그냥쓰시라고 고객을돌려보내요  그러니삼성은  고객한테폰팔곤돈먹는  장사치고 as는남들다하니  뽀대나는 장사하는셈,"
        2
      "
381, 천은정  ,내나이50 일반아줌마다이쁘기는  개코래라일년에  맛사지  한번 안하는이팔청춘  아가씨냐?하루하루 살기도  벅차다자다  숨 안쉬면 그길로  가겠지너건  이  세상이  좋냐?난  하늘만 보고  버티는. .있을때  잘해라이재용  너는!,"
        0
      "
382, 김선희  ,나도 이거 같고싶은데 엄마 아빠가 돈없다고 막그럴 걸요 엄마 아빠가 중학교때 사주신데요,"
        0
      "
