,ID,comment
75, mr. NIKO  ,Ngl it looks amazing.
76, Carla correa  ,Increibleeeeee fabuloso felicitaciones!!!!!
77, Andrew world  ,Ford onwer geely onwer volvo group
78, Carlos Amaral  ,#VOLVO♥️
79, Amine Amine  ,Yes 💯💯💪💪💪😍
80, JH Lee  ,비장하다 비장해 ㅋㅋㅋㅋㅋ나도 저런 사장이 되고 싶다. ㅋㅋㅋㅋㅋㅋㅋ
81, Gripenace  ,"First the split, and now this, whats next? Love it ;)"
82, Samyak H P  ,"My aunt works here, they have worked very hard for this"
83, 강봉식  ,(광기)
84, Ufuk Şentürk  ,VolvoVolvoVolvoVolvo 👍 waoww
85, Ajay Varghese Jacob  ,Wonderfull Innovation
86, sungeun  ,와우~볼보 간지나네요
87, mike 201314  ,"Volvo makes you roll!Volvo means ""I roll"" in Latin, conjugated from ""volvere"".Theme song: Vangelis, Conquest of Paradise."
88, Alessio Mastroianni  ,AAAAAAMZING
89, Dan Haiduc  ,"While it is over-the-top-funny, it also gives me a feeling of empowerment. Thank you Volvo!"
90, Torrijos IsNice  ,Better than The Rise of Skywalker of but not than The Last Jedi...#ThankYouRyanJohnson
91, 谢志权  ,I’m very proud of volvo 😘
92, Fry Lock  ,holy shit is this real lmao
93, Emil Blume  ,Roger Alm could even be stuntman. Great!
94, Janne T  ,Grym film! Amazing movie!
95, Nitric87  ,Now waiting for behind the scene!
96, Hotca Matias  ,A matching presentation Volvo continues to amaze us what can I say than Bravo Volvo
97, Keller Cute  ,really powerful
98, ᄏ엥  ,ㅗㅜㅑ.. ㅁㅊ...
99, Fim Bulstran  ,Alles DIESEL oder was!😂🤣😂🤣😂
100, 이경진  ,"이거슨., 찐 광기다.."
101, Lalithr  ,"How do u do that. Man that is some serious piece of precision and patience put on the ""tower"". Again, u never fail to keep our mouths wide open whenever we see ur commercials. Well done volvo."
102, Sa Rang2016 Oh  ,대박ㅋㅋㅋㅋㅋㅋㄱㄱ매드사이언티스같다ㅋㅋㅋ
103, 박문수  ,사장님이 미쳤어요!
104, colombia3020  ,¡Excelente video Volvo! 👏👏👏👏👏👏👏👏👏👏
105, Januprasad  ,Creativity @ Peak 👍🏻👍🏻👍🏻
106, 이영재  ,볼보 화이팅!
107, Bipul Hasan  ,Those videos are very underrated.
108, Imran Isak  ,"See, this is how you ad"
109, 여름  ,진짜광기...
110, Wylde H  ,VOLVO Designed for life ❤️
111, alberto neumann Nunes Imobiliaria  ,"Roger, you are a Show man. congratulations."
112, Valentia Hobbs  ,Perfectly executed! Just wow!
113, tim claassen  ,"I hope someone someware just found the coverpage for a paper on ""vertical integration and platooning"""
114, Dragos  ,"Well, you can impress me with better mileage consumption, more safety features  or better comfort, not this nonsense"
115, Shark Dark  ,It's impossible! You're really TOWER of POWER!
116, kyung min kim  ,스웨덴의 장수돌침대네. 트럭이 다섯대! 광인이다 진짜ㄷㄷ
117, A. Cook  ,:)
118, Philip Amadi  ,Best ad in years - convinced - now where is that cheque book when one needs it.
119, 탱이  ,뭔뎈ㅋㅋㅋㅋ 우리나라 자동차 브랜드 광고 부서들 긴장해라 볼보에서 ㅁㅊ걸 만들었다 ㅋㅋ
120, tim  ,But can Van Damme split between 2 towers?
121, Jarosław Pierzynka  ,Outstanding!
122, 서정우  ,THIS IS EPPPPPPPIIIIIIICCCCCCC!!!!!!!!!!
123, Henry Xu  ,I’d like to hear Enya song again Volvo like the last one
124, Motocross Plays  ,I want a Volvo Truck now!
125, handdo  ,"프라이드 가져 진짜,,"
126, emcum  ,Volvo you're fxxking crazy and geneious! Hell yeah!
127, StreetWolf1049  ,These will be the type of adverts remembered and shared 30+ years from now. Well done.
128, Raun7  ,Goosebumps all over !! Can't stop watching it again and again and again .. Volvo taking it's trucks and advertisements to next level. Such ads are the mile stones in advertising industry.
129, Adrian Pokora  ,Volvo volvo volvo volvo 💪forever ❤👍
130, 밥버거  ,BGM?
131, 이두아노  ,The Greatest Ad!!!
132, dynzi  ,What we are really seeing here is Roger Alm conjuring demon Lucifer
133, Helen Munyiri  ,👍
134, Roman Źuffa  ,👍
135, 훈제오리구잌  ,사장님 이번계기로 정장 주머니 안에 사퇴서 간직하고 계시는거 아냨ㅋㅋㅋ
136, ᄌᄋᄀ  ,머...머노...
137, Leandro FERREIRA DO NASCIMENTO  ,👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏❤❤❤❤❤😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂❤🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳
138, Lai Rex  ,Craziest video(not just commercial) ever watched
139, Ingvar Kamprad  ,4 trucks...WOW...do I need four driving licenses to drive that tower? :D
140, 이승렬  ,ㅈㄴ 멋있어
141, Mirko Cindric  ,Volvo fh16 950? 😆😆
142, Hi-Reality Sensorium  ,Volvo Trucks goes Pink Floyd Greatness👍♥️
143, Kedar Hiremath  ,U guys just nailed it with creativity...Even the music selection is awesome 'Conquest of paradise' my favourite...😍
144, Dan  ,Great!
145, EDYTA L  ,👍👏👏👏
146, MR VILADIMIR PUDIN RUSSIA  ,VOLVO 🤗
147, Mira Kim  ,real madness.honor to volvo.
148, Petter !  ,Probably the best commercial in the world 🍺
149, J Huh  ,한 번 사는 인생 지대로 사는구나 ㅋㅋㅋㅋ
150, 황부장TV  ,지렸다
151, E. Podolyac  ,Что я сейчас увидел )))
152, Szymon Kołodziej  ,Bro that's lit
153, Pratima Naik  ,2nd
154, David Dulev  ,"Awesome trucks volvo, but are they as Awesome as dota 2?"
155, الفايكنج فايكنج  ,😍😍😍😍😍😍😍
156, CreatEdd  ,Great commercial!!! Love it!!
157, Alex Don  ,Эпично!!!
158, Mhamd altore  ,Music name?
159, Kaka G  ,Super 🥳🥳💐💐👍
160, First Name Last Name  ,Volvozzled
161, Kim Chobo  ,광고는 이렇게 만들어야지!!
162, Andrei Bondarenko  ,"So, where is Van Damme?"
163, Yasar Akgun  ,I'am Volvo 540 6x4 truck driver. Thanks.
164, Speed Drawing  ,.....2 towers and Van Damme?
165, 반반  ,0:15 ~ Name of the song??
166, DONDPK  ,Bring Back JCVD
167, Petros Papadopoulos  ,"Excellent music, Vangelis 1492"
168, AJOO2  ,Nfs most wanted 2012 cops irl
169, Brosnan Lee  ,"Oh, my God.....Okay..We'll buy it....So plz stop it..😱"
170, 아이작아시모프  ,CEO의 자사제품에 대한 자신감이 ㄷㄷ
171, Wong Tik Ki  ,"This is what i would call ""truly Scandinavian""."
172, Keith Leong  ,Thought it was Magneto on top of the trucks 🤦🏻‍♂️🤣
173, tw r  ,사장님이 미쳤어요
174, Sandeep Kamath  ,That's how you launch trucks. Bravo Volvo👌
175, 나무늘보  ,진짜광기
176, 바나냥  ,진짜광기
177, H Kk  ,찐광기다 돌았다;;; What the heck I've seen. This is dope & insane
178, 밍밍밍  ,사장님이 볼보는 아니자나요 ㅠ
179, The black Eagle  ,I love your trucks Volvo so much... from IVECO truck fans
180, SM Tengjy  ,"This is ridiculous as hell.Well done Marketing Department, this is advertisement"
181, Q大波大波  ,可靠承载重托---SDLG
182, Roger Jolly  ,Plot twist Roger Alm the President is afraid of hights. :D
183, shibilism786  ,What a commercial ! Now i feel like owning a volvo truck
184, Филатов Сергей Николаевич  ,"Лайкайте мой комент. Пусть думают, что написал что-то важное..."
185, Yih Tat Tan  ,"Nice truck, but is it as nice as DotA2?"
186, netbi0z  ,"I like bikes, but now I want a Volvo Truck"
187, PSS Steering and Hydraulics  ,WOW! ⚡ Great work guys 💪
188, VelociGames  ,0:35 You Shall not Pass
189, 김용준  ,insane...
190, Charan Rajan  ,"Awesome video, showcasing brilliant products"
191," Autospeci Lv Akumulatori, Auto Rezerves daļas lētāk  ","Why video frame is so wierdly thin? Āaaaa, cinematic......!!!!!!!!"
192, mega server  ,Oh my  god
193, 에리아미  ,와중에 노래 좋네따로 듣고싶당
194, Odil GERAND  ,Impressive!
195, TV뷰맨  ,볼보 주식 어디 상장되있냐? ㅈㄴ 멋있네
196, 김진희  ,With president😂😂😂🤣🤣🤣😂
197, Marcus Magnusson  ,Volvo should start a movie-making branch in Hollywood. All their commercials rule.
198, 윤명  ,목숨과 맞바꾼 마케팅 전략
199, findyou cnq  ,👍👍👍
200, Beno Zurman  ,The only problem with this commercial is that it ends up to quickly! :(
201, eminsuki  ,"Where is Safety, symbol of Volvo"
202, 아무거나  ,M A D M A X
203, 이브지옵프#  ,개쩐다 ㄷㄷ
204, Timo Kallio-Kokko  ,"I wonder if this a little ""echo"" from the past, in the 60s they stacked volvo passenger cars for a advert in america."
205, 도래도레  ,미친사장
206, Jet C  ,Sooo when's the movie coming out?
207, Кирилл Желнин  ,пацаны ващеребята!
208, Sid H  ,Volvo for a reason!
209, alexdiezg  ,Volvo Truck is at it again!
210, Gevorg Barseghyan  ,Nice adv
211, Parker Parker  ,КРУТО!
212, 도란이  ,찐광기..
213, Alexander Tardif  ,WHERE'S J C ?!?  BRING J C BACK!!!
214, wowersdh1  ,씨밤 스웨덴 성님들 죤나 간지나!!!Valhöll SWEDEN!!!!!
215, Andrew world  ,Industrivraden  or geely  onwer volvo group  who  onw
216, Aristo TellUs  ,awesome!
217, 매년.815이후.토착왜구.일본.발작터짐.  ,아니 이게뭐야대단해ㄷㄷ
218, Роман Гречило  ,You are amazing!
219, grace j  ,Madmax...?
